DCD,Treatment,INN
22,Tillage,27.56218905
22,Tillage,27.56218905
22,Tillage,27.56218905
22,No-Tillage,37.3
22,No-Tillage,37.3
22,No-Tillage,37.3
22,Tillage,26.73366834
22,Tillage,26.73366834
22,Tillage,26.73366834
22,No-Tillage,27.6
22,No-Tillage,27.6
22,No-Tillage,27.6
22,Tillage,35.32338308
22,Tillage,35.32338308
22,Tillage,35.32338308
22,No-Tillage,30.75376884
22,No-Tillage,30.75376884
22,No-Tillage,30.75376884
22,Tillage,32.73631841
22,Tillage,32.73631841
22,Tillage,32.73631841
22,No-Tillage,27.960199
22,No-Tillage,27.960199
22,No-Tillage,27.960199
22,No-Tillage,39
22,No-Tillage,39
22,No-Tillage,39
22,Tillage,37.88944724
22,Tillage,37.88944724
22,Tillage,37.88944724
22,No-Tillage,27.83919598
22,No-Tillage,27.83919598
22,No-Tillage,27.83919598
22,Tillage,26.2
22,Tillage,26.2
22,Tillage,26.2
22,Tillage,24.7
22,Tillage,24.7
22,Tillage,24.7
22,No-Tillage,25.82914573
22,No-Tillage,25.82914573
22,No-Tillage,25.82914573
22,No-Tillage,26.23115578
22,No-Tillage,26.23115578
22,No-Tillage,26.23115578
22,Tillage,28.44221106
22,Tillage,28.44221106
22,Tillage,28.44221106
22,No-Tillage,26.96517413
22,No-Tillage,26.96517413
22,No-Tillage,26.96517413
22,Tillage,30.94527363
22,Tillage,30.94527363
22,Tillage,30.94527363
22,Tillage,29.1
22,Tillage,29.1
22,Tillage,29.1
22,No-Tillage,26.96517413
22,No-Tillage,26.96517413
22,No-Tillage,26.96517413
22,No-Tillage,33.53233831
22,No-Tillage,33.53233831
22,No-Tillage,33.53233831
22,Tillage,30.25125628
22,Tillage,30.25125628
22,Tillage,30.25125628
22,No-Tillage,34.3
22,No-Tillage,34.3
22,No-Tillage,34.3
22,Tillage,32.66331658
22,Tillage,32.66331658
22,Tillage,32.66331658
240,Tillage,24.37810945
240,Tillage,24.37810945
240,Tillage,24.37810945
240,No-Tillage,34.12935323
240,No-Tillage,34.12935323
240,No-Tillage,34.12935323
240,Tillage,30.0990099
240,Tillage,30.0990099
240,Tillage,30.0990099
240,No-Tillage,34.7
240,No-Tillage,34.7
240,No-Tillage,34.7
240,Tillage,27.52475248
240,Tillage,27.52475248
240,Tillage,27.52475248
240,No-Tillage,32.4
240,No-Tillage,32.4
240,No-Tillage,32.4
240,Tillage,23.91959799
240,Tillage,23.91959799
240,Tillage,23.91959799
240,No-Tillage,36.61691542
240,No-Tillage,36.61691542
240,No-Tillage,36.61691542
240,No-Tillage,33.06532663
240,No-Tillage,33.06532663
240,No-Tillage,33.06532663
240,Tillage,26.3
240,Tillage,26.3
240,Tillage,26.3
240,No-Tillage,32.5
240,No-Tillage,32.5
240,No-Tillage,32.5
240,Tillage,31.14427861
240,Tillage,31.14427861
240,Tillage,31.14427861
240,Tillage,25.5721393
240,Tillage,25.5721393
240,Tillage,25.5721393
240,No-Tillage,26.06965174
240,No-Tillage,26.06965174
240,No-Tillage,26.06965174
240,No-Tillage,33.43283582
240,No-Tillage,33.43283582
240,No-Tillage,33.43283582
240,Tillage,28.95522388
240,Tillage,28.95522388
240,Tillage,28.95522388
240,No-Tillage,32.06030151
240,No-Tillage,32.06030151
240,No-Tillage,32.06030151
240,Tillage,31.48514851
240,Tillage,31.48514851
240,Tillage,31.48514851
240,Tillage,28.85572139
240,Tillage,28.85572139
240,Tillage,28.85572139
240,No-Tillage,33.33333333
240,No-Tillage,33.33333333
240,No-Tillage,33.33333333
240,No-Tillage,37.91044776
240,No-Tillage,37.91044776
240,No-Tillage,37.91044776
240,Tillage,34.5
240,Tillage,34.5
240,Tillage,34.5
240,No-Tillage,33.86934673
240,No-Tillage,33.86934673
240,No-Tillage,33.86934673
240,Tillage,26.06965174
240,Tillage,26.06965174
240,Tillage,26.06965174
624,Tillage,79
624,Tillage,79
624,Tillage,79
624,No-Tillage,86.16915423
624,No-Tillage,86.16915423
624,No-Tillage,86.16915423
624,Tillage,30.44776119
624,Tillage,30.44776119
624,Tillage,30.44776119
624,No-Tillage,59
624,No-Tillage,59
624,No-Tillage,59
624,Tillage,53.13432836
624,Tillage,53.13432836
624,Tillage,53.13432836
624,No-Tillage,44.6
624,No-Tillage,44.6
624,No-Tillage,44.6
624,Tillage,57.5
624,Tillage,57.5
624,Tillage,57.5
624,No-Tillage,35.07537688
624,No-Tillage,35.07537688
624,No-Tillage,35.07537688
624,No-Tillage,52.07920792
