DCD,Treatment,Activity
4/20/2016,Hairy_Vetch,1.11829882
4/20/2016,Hairy_Vetch,1.052518967
4/20/2016,Hairy_Vetch,0.785860768
4/20/2016,Hairy_Vetch,0.422202932
4/20/2016,Hairy_Vetch,0.60900036
4/20/2016,Hairy_Vetch,1.002176356
4/20/2016,Mixture,0.496601707
4/20/2016,Mixture,0.749426954
4/20/2016,Mixture,0.92207751
4/20/2016,Mixture,0.742523256
4/20/2016,Mixture,0.798069758
4/20/2016,Mixture,0.295543986
4/20/2016,Control,0.90716712
4/20/2016,Control,0.628703528
4/20/2016,Control,0.773891584
4/20/2016,Control,0.620917642
4/20/2016,Control,0.89621115
4/20/2016,Control,1.128214746
4/20/2016,Cereal_Rye,0.845598339
4/20/2016,Cereal_Rye,0.876499843
4/20/2016,Cereal_Rye,0.79090597
4/20/2016,Cereal_Rye,1.391392724
4/20/2016,Cereal_Rye,0.495574411
4/20/2016,Cereal_Rye,0.407694578
4/20/2016,Control,0.844954831
4/20/2016,Control,0.672600905
4/20/2016,Control,0.886918775
4/20/2016,Control,0.27552914
4/20/2016,Control,0.637825689
4/20/2016,Control,0.728536712
4/20/2016,Cereal_Rye,0.581647544
4/20/2016,Cereal_Rye,0.324196109
4/20/2016,Cereal_Rye,0.523229385
4/20/2016,Cereal_Rye,0.590161342
4/20/2016,Cereal_Rye,0.912809765
4/20/2016,Cereal_Rye,0.941931307
4/20/2016,Hairy_Vetch,0.843692795
4/20/2016,Hairy_Vetch,0.087142965
4/20/2016,Hairy_Vetch,0.735440087
4/20/2016,Hairy_Vetch,0.693599264
4/20/2016,Hairy_Vetch,0.413665727
4/20/2016,Hairy_Vetch,0.885444234
4/20/2016,Mixture,0.893748598
4/20/2016,Mixture,1.186203277
4/20/2016,Mixture,0.995401637
4/20/2016,Mixture,0.832468262
4/20/2016,Mixture,0.844568445
4/20/2016,Mixture,0.879600877
4/20/2016,Cereal_Rye,0.782072491
4/20/2016,Cereal_Rye,0.899964327
4/20/2016,Cereal_Rye,0.902208865
4/20/2016,Cereal_Rye,0.707128831
4/20/2016,Cereal_Rye,0.667722597
4/20/2016,Cereal_Rye,0.811084274
4/20/2016,Mixture,0.882207215
4/20/2016,Mixture,1.11835546
4/20/2016,Mixture,0.966975393
4/20/2016,Mixture,1.407215119
4/20/2016,Mixture,1.094926792
4/20/2016,Mixture,1.11378318
4/20/2016,Control,0.900333726
4/20/2016,Control,0.650090997
4/20/2016,Control,0.616835092
4/20/2016,Control,0.044564416
4/20/2016,Control,0.630878505
4/20/2016,Control,0.496432214
4/20/2016,Hairy_Vetch,0.406072851
4/20/2016,Hairy_Vetch,0.77962493
4/20/2016,Hairy_Vetch,0.798319647
4/20/2016,Hairy_Vetch,0.565868293
4/20/2016,Hairy_Vetch,0.484881711
4/20/2016,Hairy_Vetch,0.055209195
5/5/2016,Hairy_Vetch,0.508556978
5/5/2016,Hairy_Vetch,1.796357622
5/5/2016,Hairy_Vetch,1.285451765
5/5/2016,Hairy_Vetch,1.401539543
