DCD,Treatment,Activity
4/20/2016,Hairy_Vetch,21.472
4/20/2016,Hairy_Vetch,23.121
4/20/2016,Hairy_Vetch,25.837
4/20/2016,Hairy_Vetch,21.365
4/20/2016,Hairy_Vetch,16.009
4/20/2016,Hairy_Vetch,26.148
4/20/2016,Mixture,22.279
4/20/2016,Mixture,20.64
4/20/2016,Mixture,24.602
4/20/2016,Mixture,23.645
4/20/2016,Mixture,25.97
4/20/2016,Mixture,18.109
4/20/2016,Control,71.429
4/20/2016,Control,23.37
4/20/2016,Control,17.626
4/20/2016,Control,20.53
4/20/2016,Control,28.193
4/20/2016,Control,19.586
4/20/2016,Cereal_Rye,74.632
4/20/2016,Cereal_Rye,70.159
4/20/2016,Cereal_Rye,27.818
4/20/2016,Cereal_Rye,27.949
4/20/2016,Cereal_Rye,28.307
4/20/2016,Cereal_Rye,27.696
4/20/2016,Control,42.842
4/20/2016,Control,23.511
4/20/2016,Control,20.172
4/20/2016,Control,19.463
4/20/2016,Control,34.036
4/20/2016,Control,28.14
4/20/2016,Cereal_Rye,71.544
4/20/2016,Cereal_Rye,60.543
4/20/2016,Cereal_Rye,46.225
4/20/2016,Cereal_Rye,25.523
4/20/2016,Cereal_Rye,35.489
4/20/2016,Cereal_Rye,18.147
4/20/2016,Hairy_Vetch,26.105
4/20/2016,Hairy_Vetch,26.023
4/20/2016,Hairy_Vetch,34.629
4/20/2016,Hairy_Vetch,68.134
4/20/2016,Hairy_Vetch,64.473
4/20/2016,Hairy_Vetch,64.562
4/20/2016,Mixture,9.182
4/20/2016,Mixture,27.445
4/20/2016,Mixture,36.861
4/20/2016,Mixture,30.431
4/20/2016,Mixture,25.99
4/20/2016,Mixture,29.441
4/20/2016,Cereal_Rye,20.263
4/20/2016,Cereal_Rye,28.414
4/20/2016,Cereal_Rye,42.024
4/20/2016,Cereal_Rye,25.648
4/20/2016,Cereal_Rye,23.291
4/20/2016,Cereal_Rye,27.489
4/20/2016,Mixture,35.119
4/20/2016,Mixture,30.174
4/20/2016,Mixture,36.991
4/20/2016,Mixture,34.682
4/20/2016,Mixture,54.315
4/20/2016,Mixture,34.822
4/20/2016,Control,23.574
4/20/2016,Control,23.028
4/20/2016,Control,18.972
